C00130773|01312013|1000|7|10500
C00144766|10222013|1000|1|1000
C00214981|01082013|600|1|600
C00325993|10162013|1000|2|2000
C00428623|01182013|1000|1|1000
C00433680|10232013|5000|1|5000
C00003764|12042013|263|2|525
C00034033|01172013|14|1|14
C00128512|10232013|1512|36|74092
C00369751|01312013|250|1|250
C00499996|03282013|500|1|500
C00393728|01252013|2250|3|5250
C00012914|01182013|500|1|500
C00236760|10312013|257|3|916
C00298000|12092013|250|1|250
C00396291|04242013|500|1|500
C00448696|01302013|300|1|300
C00340455|01312013|297|8|2219
C00358812|01082013|200|1|200
C00346080|12092013|250|1|250
C00508036|02122013|1000|1|1000
C00476325|09162013|500|1|500
C00433524|12102013|2600|1|2600
C00459297|12202013|500|1|500
C00471292|08262013|1200|1|1200
C00508051|03292013|200|1|200
C00390724|11052013|3000|1|3000
C00475863|02252013|2500|8|16500
C00493825|03172013|250|1|250
C00493684|01282013|700|1|700
C00502393|12192013|1000|1|1000
C00445122|09182013|250|1|250
C00332890|02192013|-300|1|-300
C00504704|03252013|250|1|250
C00269340|12092013|2600|1|2600
C00468579|05292013|1000|1|1000
C00410969|03302013|250|1|250
C00484683|05162013|500|1|500
C00394957|09302013|2600|3|7200
C00541227|09062013|2600|1|2600
C00410761|10162013|200|1|200
C00460899|03212013|1000|2|2000
C00540492|01252013|750|2|1500
C00418293|02052013|1000|1|1000
C00370650|02132013|1700|10|14500
C00442921|01252013|1000|1|1000
C00509422|09242013|1000|1|1000
C00477984|12172013|250|1|250
C00433730|02102013|500|1|500
C00541409|08142013|570|1|570
C00473777|01252013|1000|1|1000
C00417816|01222013|250|1|250
C00493783|03222013|500|4|2250
C00310896|09032013|1000|1|1000
C00502104|05072012|200|1|200
C00034132|02082013|3100|1|3100
C00364109|03272013|500|1|500
C00084954|02272013|750|1|750
C00082917|02282013|1500|3|2250
C00367375|11292013|200|1|200
C00391821|01182013|300|1|300
C00487447|02282013|250|1|250
C00002261|02222013|5000|1|5000
C00208983|06192013|5000|1|5000
C00399386|02152013|342|2|684
C00035683|10312013|416|34|14144
C00100131|08192013|700|1|700
C00365502|11302013|416|9|3661
C00363879|10312013|416|6|2480
C00250068|10012013|5000|1|5000
C00007070|02282013|250|8|2364
C00351635|01112013|5000|22|110000
C00006486|10022013|300|1|300
C00393553|03012013|5000|1|5000
C00510016|01032013|1000|1|1000
C00374447|01182013|400|1|400
C00388504|12022013|500|1|500
C00303024|09062013|250|1|250
C00099234|12312013|200|3|600
C00412098|12312013|1000|1|1000
C00390641|08012013|750|1|750
C00344325|11192013|250|1|250
C00193631|01112013|600|1|600
C00008086|12192013|200|1|200
C00196725|11302013|208|1|208
C00113241|01302013|1000|7|12333
C00438051|01312013|1000|1|1000
C00160770|01312013|416|18|6679
C00416636|01032013|700|1|700
C00492116|02112013|650|1|650
C00238725|12202013|208|2|416
C00013748|12122013|250|1|250
C00161810|11042013|1000|1|1000
C00119354|02202013|333|1|333
C00370122|11212013|500|1|500
C00437400|01102013|2500|1|2500
C00027466|10012013|1000|1|1000
C00162735|03052013|5000|3|15000
C00145037|01312013|400|1|400
C00524330|05282013|5000|1|5000
C00441949|01282013|1000|1|1000
C00247569|01312013|424|5|1822
C00034298|12312013|205|4|1025
C00532705|02142013|700000|1|700000
C00142786|10082013|416|6|2306
C00116145|10222013|1000|1|1000
